Date,Customer ID,Order ID,Order Amount,Marketing Campaign,Product Launch,City,Payment Method,Customer Segment,Sales Representative,Discount Applied
10/27/2021 21:27,330992,37870307,1689.05,Referral,No,San Antonio,Cash,Loyal Customer,Ashley Perez,No
1/6/2022 13:17,76058,79704598,2151.168,Holiday Campaign,No,Dallas,PayPal,Regular Customer,Mark Walker,No
3/9/2023 7:35,5429,2955652,561.4,Email Promo,No,Seattle,Cash,Regular Customer,Ashley Perez,No
4/8/2022 5:31,97,343620,133.62,Summer Sale,No,Oklahoma City,PayPal,High-Value Customer,Nancy Moore,No
2/2/2020 19:42,76899036,4,851.868,Referral,Yes,Indianapolis,PayPal,New Customer,James Brown,No
4/12/2022 9:33,715,662331,586.62,Holiday Campaign,No,Fort Worth,Cash,New Customer,Carol Hall,No
4/25/2021 0:40,82,17523,1477.19,Referral,No,Indianapolis,Credit Card,High-Value Customer,John Smith,No
6/7/2021 20:00,6761341,52,1539.55,Referral,Yes,San Jose,Cash,New Customer,Thomas Turner,No
10/7/2022 15:34,43756435,189152145,522.52,Holiday Campaign,No,Memphis,Credit Card,New Customer,David Hall,No
1/30/2022 20:36,3847,78507,48.948,Email Promo,No,Los Angeles,Credit Card,High-Value Customer,Daniel Scott,Yes
3/16/2020 6:10,812,124959,194.63,Referral,Yes,Milwaukee,PayPal,High-Value Customer,Michael Wilson,No
11/13/2022 5:28,526845,15086,95.6448,Holiday Campaign,No,Nashville,PayPal,Regular Customer,Charles Anderson,Yes
8/12/2023 18:26,38638,3,485.71,Referral,No,Columbus,PayPal,Regular Customer,Sandra Adams,No
6/14/2022 10:15,9,761335,884.37,Email Promo,Yes,Detroit,PayPal,High-Value Customer,Jessica Jackson,No
8/16/2022 7:42,859315591,8290,666.31,Summer Sale,Yes,Boston,Cash,New Customer,Richard White,No
6/27/2021 0:24,93,194207,120.72,Holiday Campaign,Yes,Detroit,PayPal,High-Value Customer,Kenneth Nelson,No
7/27/2022 12:04,216416699,359,317.44,Summer Sale,No,Fort Worth,Cash,Loyal Customer,Kenneth Nelson,No
9/19/2022 2:51,603256757,50679,926.12,Summer Sale,Yes,Boston,Credit Card,New Customer,Margaret Young,No
10/30/2022 6:09,263251489,5,834.651,Summer Sale,Yes,Denver,Credit Card,Regular Customer,Dorothy King,No
1/1/2023 5:19,65038,29673122,902.604,Holiday Campaign,Yes,Dallas,PayPal,New Customer,Nancy Moore,No
1/25/2023 8:01,11237545,853,471,Summer Sale,No,Oklahoma City,Cash,Loyal Customer,Steven Wright,No
4/16/2022 9:46,7855363,52875675,842.517,Referral,No,Austin,Credit Card,Regular Customer,Elizabeth Davis,No
4/1/2021 18:56,64022596,10,301.46,Email Promo,No,Philadelphia,Credit Card,New Customer,Donna Brooks,No
10/12/2020 22:19,3696008,556182,142.26,Holiday Campaign,Yes,Philadelphia,PayPal,Loyal Customer,James Brown,No
8/12/2020 2:49,642502660,5100,105.417,Email Promo,Yes,San Jose,PayPal,Regular Customer,Margaret Young,No
10/1/2023 20:12,875948980,491,1284.47,Holiday Campaign,Yes,Memphis,Credit Card,New Customer,Karen Lewis,No
11/13/2023 23:02,414009907,182428,2288.748,Referral,Yes,Louisville,Credit Card,New Customer,Ashley Perez,No
4/13/2021 18:25,46,2,359.09,Email Promo,No,New York,PayPal,High-Value Customer,Michael Wilson,No
1/17/2020 20:44,2381820,68069163,1699.524,Holiday Campaign,Yes,Las Vegas,Cash,High-Value Customer,Richard White,No
9/16/2022 9:34,6828853,987896203,1863.1,Summer Sale,Yes,Seattle,Cash,Loyal Customer,David Hall,No
7/10/2021 13:25,6,408657,657.24,Email Promo,Yes,Houston,Cash,New Customer,Donna Brooks,No
10/3/2021 13:54,7265178,86209,258.95,Holiday Campaign,Yes,Columbus,Credit Card,Loyal Customer,Margaret Young,No
11/6/2022 10:44,87,347588647,640.116,Referral,Yes,Columbus,Cash,High-Value Customer,Donna Brooks,No
3/14/2020 13:48,49,6179,1531.4,Summer Sale,No,Seattle,Cash,Loyal Customer,Susan Harris,No
10/21/2022 12:56,85,6565736,1224.4,Summer Sale,Yes,Nashville,Credit Card,New Customer,George Harris,No
8/9/2021 13:51,7725,373,226.19,Summer Sale,Yes,Baltimore,PayPal,New Customer,Jessica Jackson,No
